年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/4/1,141003,横浜市,438.23,1803669,3753758,1848218,1905540,2.08,8566,10704,5307
2026/4/1,141011,鶴見区,33.21,149772,297484,153251,144233,1.99,8958,1308,1013
2026/4/1,141020,神奈川区,23.73,136576,253202,128384,124818,1.85,10670,1081,878
2026/4/1,141038,西区,7.03,61470,108408,54420,53988,1.76,15421,554,337
2026/4/1,141046,中区,22.01,90558,154292,78926,75366,1.7,7010,291,30
2026/4/1,141054,南区,12.65,108947,198455,98637,99818,1.82,15688,1130,886
2026/4/1,141119,港南区,19.9,95570,208732,100999,107733,2.18,10489,250,-209
2026/4/1,141062,保土ケ谷区,21.93,100237,203547,99899,103648,2.03,9282,602,266
2026/4/1,141127,旭区,32.73,108459,239361,115137,124224,2.21,7313,426,80
2026/4/1,141071,磯子区,19.02,78468,163344,80316,83028,2.08,8588,440,199
2026/4/1,141089,金沢区,30.95,90519,191860,93033,98827,2.12,6199,560,160
2026/4/1,141097,港北区,31.4,181213,364733,181356,183377,2.01,11616,1561,1158
2026/4/1,141135,緑区,25.51,81602,180368,88145,92223,2.21,7070,374,-26
2026/4/1,141178,青葉区,35.22,135760,306984,147967,159017,2.26,8716,687,336
2026/4/1,141186,都筑区,27.87,88669,213499,103939,109560,2.41,7661,298,-151
2026/4/1,141101,戸塚区,35.79,124451,281115,136439,144676,2.26,7855,562,181
2026/4/1,141151,栄区,18.52,53340,118661,57279,61382,2.22,6407,107,-119
2026/4/1,141160,泉区,23.58,64155,149537,72099,77438,2.33,6342,271,238
2026/4/1,141143,瀬谷区,17.17,53903,120176,57992,62184,2.23,6999,202,50
