年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/09/01,141003,横浜市,438.23,1816480,3770960,1858750,1912210,2.08,8605,71,-809
2024/09/01,141011,鶴見区,33.21,150761,297187,153370,143817,1.97,8949,27,-71
2024/09/01,141020,神奈川区,23.73,135940,251353,127919,123434,1.85,10592,14,-2
2024/09/01,141038,西区,7.03,60058,107113,54212,52901,1.78,15237,68,76
2024/09/01,141046,中区,22.01,88872,152920,77689,75231,1.72,6948,-19,52
2024/09/01,141054,南区,12.65,109315,199492,99451,100041,1.82,15770,-38,-115
2024/09/01,141119,港南区,19.9,97735,212354,103049,109305,2.17,10671,-28,-165
2024/09/01,141062,保土ケ谷区,21.93,101774,205403,100554,104849,2.02,9366,-74,-115
2024/09/01,141127,旭区,32.73,109072,240965,115833,125132,2.21,7362,-2,-56
2024/09/01,141071,磯子区,19.02,80322,164661,80924,83737,2.05,8657,-14,-88
2024/09/01,141089,金沢区,30.95,91259,193956,93979,99977,2.13,6267,-16,-135
2024/09/01,141097,港北区,31.4,183071,364927,181846,183081,1.99,11622,-28,49
2024/09/01,141135,緑区,25.51,82420,182849,89713,93136,2.22,7168,3,-118
2024/09/01,141178,青葉区,35.22,136639,308150,148345,159805,2.26,8749,6,-26
2024/09/01,141186,都筑区,27.87,89189,214927,104895,110032,2.41,7712,46,-41
2024/09/01,141101,戸塚区,35.79,126016,282400,137381,145019,2.24,7890,73,62
2024/09/01,141151,栄区,18.52,54945,120754,58565,62189,2.2,6520,-15,-44
2024/09/01,141160,泉区,23.58,64646,150365,72596,77769,2.33,6377,12,-78
2024/09/01,141143,瀬谷区,17.17,54446,121184,58429,62755,2.23,7058,56,6
