年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/02/01,141003,横浜市,438.23,1818320,3766732,1856327,1910405,2.07,8595,-995,-2852
2025/02/01,141011,鶴見区,33.21,151056,297263,153505,143758,1.97,8951,-113,-248
2025/02/01,141020,神奈川区,23.73,136236,251580,127959,123621,1.85,10602,-140,-203
2025/02/01,141038,西区,7.03,60338,107373,54317,53056,1.78,15274,-9,-47
2025/02/01,141046,中区,22.01,89492,153453,77891,75562,1.71,6972,21,12
2025/02/01,141054,南区,12.65,109145,199040,99092,99948,1.82,15734,-131,-230
2025/02/01,141119,港南区,19.9,97542,211481,102571,108910,2.17,10627,-68,-230
2025/02/01,141062,保土ケ谷区,21.93,101887,205128,100434,104694,2.01,9354,-5,-138
2025/02/01,141127,旭区,32.73,109022,240199,115419,124780,2.2,7339,-120,-302
2025/02/01,141071,磯子区,19.02,80386,164425,80786,83639,2.05,8645,43,-10
2025/02/01,141089,金沢区,30.95,90854,192934,93565,99369,2.12,6234,-112,-257
2025/02/01,141097,港北区,31.4,183606,365592,182153,183439,1.99,11643,-81,-113
2025/02/01,141135,緑区,25.51,82497,182451,89484,92967,2.21,7152,-48,-147
2025/02/01,141178,青葉区,35.22,136720,307693,148064,159629,2.25,8736,-1,-182
2025/02/01,141186,都筑区,27.87,89411,214639,104760,109879,2.4,7701,12,-59
2025/02/01,141101,戸塚区,35.79,126070,281973,137116,144857,2.24,7879,-56,-227
2025/02/01,141151,栄区,18.52,54639,120139,58232,61907,2.2,6487,-144,-204
2025/02/01,141160,泉区,23.58,64859,150303,72590,77713,2.32,6374,-37,-133
2025/02/01,141143,瀬谷区,17.17,54560,121066,58389,62677,2.22,7051,-6,-134
