年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/09/01,141003,横浜市,438.23,1836882,3772320,1858834,1913486,2.05,8608,39,-417
2025/09/01,141011,鶴見区,33.21,153081,298742,154216,144526,1.95,8996,78,145
2025/09/01,141020,神奈川区,23.73,138524,253663,128945,124718,1.83,10690,50,149
2025/09/01,141038,西区,7.03,61334,108444,54834,53610,1.77,15426,30,152
2025/09/01,141046,中区,22.01,90940,154370,78426,75944,1.7,7014,61,109
2025/09/01,141054,南区,12.65,110598,199899,99423,100476,1.81,15802,-60,-151
2025/09/01,141119,港南区,19.9,98290,211377,102559,108818,2.15,10622,-21,-94
2025/09/01,141062,保土ケ谷区,21.93,103018,205585,100760,104825,2,9375,-80,-148
2025/09/01,141127,旭区,32.73,109783,239909,115270,124639,2.19,7330,4,-115
2025/09/01,141071,磯子区,19.02,80888,163994,80660,83334,2.03,8622,9,-72
2025/09/01,141089,金沢区,30.95,91532,192579,93360,99219,2.1,6222,6,-44
2025/09/01,141097,港北区,31.4,185633,367292,182969,184323,1.98,11697,-121,1
2025/09/01,141135,緑区,25.51,83273,182368,89382,92986,2.19,7149,0,-41
2025/09/01,141178,青葉区,35.22,137750,307128,147727,159401,2.23,8720,20,-133
2025/09/01,141186,都筑区,27.87,90033,214279,104475,109804,2.38,7689,54,33
2025/09/01,141101,戸塚区,35.79,126967,281643,136958,144685,2.22,7869,-25,-96
2025/09/01,141151,栄区,18.52,55094,120051,58179,61872,2.18,6482,-21,-32
2025/09/01,141160,泉区,23.58,65161,150102,72446,77656,2.3,6366,43,-33
2025/09/01,141143,瀬谷区,17.17,54983,120895,58245,62650,2.2,7041,12,-47
