年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/10/01,141003,横浜市,438.23,1817762,3771063,1858735,1912328,2.07,8605,1282,103
2024/10/01,141011,鶴見区,33.21,150806,297180,153334,143846,1.97,8949,45,-7
2024/10/01,141020,神奈川区,23.73,136210,251587,128010,123577,1.85,10602,270,234
2024/10/01,141038,西区,7.03,60116,107155,54218,52937,1.78,15243,58,42
2024/10/01,141046,中区,22.01,88989,153008,77742,75266,1.72,6952,117,88
2024/10/01,141054,南区,12.65,109350,199485,99421,100064,1.82,15770,35,-7
2024/10/01,141119,港南区,19.9,97708,212267,102977,109290,2.17,10667,-27,-87
2024/10/01,141062,保土ケ谷区,21.93,101821,205360,100539,104821,2.02,9364,47,-43
2024/10/01,141127,旭区,32.73,109104,240825,115755,125070,2.21,7358,32,-140
2024/10/01,141071,磯子区,19.02,80342,164598,80893,83705,2.05,8654,20,-63
2024/10/01,141089,金沢区,30.95,91313,193897,93954,99943,2.12,6265,54,-59
2024/10/01,141097,港北区,31.4,183420,365316,182084,183232,1.99,11634,349,389
2024/10/01,141135,緑区,25.51,82476,182809,89710,93099,2.22,7166,56,-40
2024/10/01,141178,青葉区,35.22,136717,308085,148311,159774,2.25,8747,78,-65
2024/10/01,141186,都筑区,27.87,89294,214969,104892,110077,2.41,7713,105,42
2024/10/01,141101,戸塚区,35.79,126134,282458,137416,145042,2.24,7892,118,58
2024/10/01,141151,栄区,18.52,54805,120519,58423,62096,2.2,6508,-140,-235
2024/10/01,141160,泉区,23.58,64743,150418,72641,77777,2.32,6379,97,53
2024/10/01,141143,瀬谷区,17.17,54414,121127,58415,62712,2.23,7055,-32,-57
