年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/6/1,141003,横浜市,438.23,1810755,3759615,1851317,1908298,2.08,8579,932,230
2026/6/1,141011,鶴見区,33.21,150525,298218,153757,144461,1.98,8980,123,146
2026/6/1,141020,神奈川区,23.73,137636,254392,129000,125392,1.85,10720,63,130
2026/6/1,141038,西区,7.03,61740,108735,54564,54171,1.76,15467,-11,-16
2026/6/1,141046,中区,22.01,90761,154559,79093,75466,1.7,7022,-61,-84
2026/6/1,141054,南区,12.65,109573,198890,98828,100062,1.82,15723,123,81
2026/6/1,141119,港南区,19.9,95782,208862,101078,107784,2.18,10496,91,33
2026/6/1,141062,保土ケ谷区,21.93,100668,203843,100042,103801,2.02,9295,25,-68
2026/6/1,141127,旭区,32.73,108744,239534,115258,124276,2.2,7318,71,21
2026/6/1,141071,磯子区,19.02,78810,163608,80390,83218,2.08,8602,110,61
2026/6/1,141089,金沢区,30.95,90782,191961,93135,98826,2.11,6202,-28,-117
2026/6/1,141097,港北区,31.4,181856,365502,181748,183754,2.01,11640,170,281
2026/6/1,141135,緑区,25.51,81723,180231,88068,92163,2.21,7065,12,-92
2026/6/1,141178,青葉区,35.22,136239,307331,148183,159148,2.26,8726,4,-80
2026/6/1,141186,都筑区,27.87,88982,213721,103999,109722,2.4,7668,99,-45
2026/6/1,141101,戸塚区,35.79,124779,281300,136473,144827,2.25,7860,54,8
2026/6/1,141151,栄区,18.52,53753,118955,57476,61479,2.21,6423,-46,-107
2026/6/1,141160,泉区,23.58,64376,149820,72237,77583,2.33,6354,70,77
2026/6/1,141143,瀬谷区,17.17,54026,120153,57988,62165,2.22,6998,63,1
