年（和暦）,年（西暦）,月,種別,性別,数・率
平成12,2000,1,世帯数増減,,1050
平成12,2000,1,人口増減,総数,1927
平成12,2000,1,人口増減,男,656
平成12,2000,1,人口増減,女,1271
平成12,2000,1,社会増減,総数,1148
平成12,2000,1,社会増減,男,389
平成12,2000,1,社会増減,女,759
平成12,2000,1,市外移動_転入,総数,10280
平成12,2000,1,市外移動_転入,男,5570
平成12,2000,1,市外移動_転入,女,4710
平成12,2000,1,市外移動_転出,総数,9137
平成12,2000,1,市外移動_転出,男,5145
平成12,2000,1,市外移動_転出,女,3992
平成12,2000,1,市内移動_転入,総数,6633
平成12,2000,1,市内移動_転入,男,3455
平成12,2000,1,市内移動_転入,女,3178
平成12,2000,1,市内移動_転出,総数,6607
平成12,2000,1,市内移動_転出,男,3438
平成12,2000,1,市内移動_転出,女,3169
平成12,2000,1,その他増減,総数,-21
平成12,2000,1,その他増減,男,-53
平成12,2000,1,その他増減,女,32
平成12,2000,1,自然増減,総数,779
平成12,2000,1,自然増減,男,267
平成12,2000,1,自然増減,女,512
平成12,2000,1,出生,総数,2997
平成12,2000,1,出生,男,1546
平成12,2000,1,出生,女,1451
平成12,2000,1,死亡,総数,2218
平成12,2000,1,死亡,男,1279
平成12,2000,1,死亡,女,939
平成12,2000,1,人口増減率,,0.05671
平成12,2000,1,社会増減率,,0.03379
平成12,2000,1,自然増減率,,0.02293
平成12,2000,2,世帯数増減,,168
平成12,2000,2,人口増減,総数,5
平成12,2000,2,人口増減,男,-499
平成12,2000,2,人口増減,女,504
平成12,2000,2,社会増減,総数,-748
平成12,2000,2,社会増減,男,-787
平成12,2000,2,社会増減,女,39
平成12,2000,2,市外移動_転入,総数,10293
平成12,2000,2,市外移動_転入,男,5641
平成12,2000,2,市外移動_転入,女,4652
平成12,2000,2,市外移動_転出,総数,10981
平成12,2000,2,市外移動_転出,男,6346
平成12,2000,2,市外移動_転出,女,4635
平成12,2000,2,市内移動_転入,総数,6582
平成12,2000,2,市内移動_転入,男,3491
平成12,2000,2,市内移動_転入,女,3091
平成12,2000,2,市内移動_転出,総数,6567
平成12,2000,2,市内移動_転出,男,3480
平成12,2000,2,市内移動_転出,女,3087
平成12,2000,2,その他増減,総数,-75
平成12,2000,2,その他増減,男,-93
平成12,2000,2,その他増減,女,18
平成12,2000,2,自然増減,総数,753
平成12,2000,2,自然増減,男,288
平成12,2000,2,自然増減,女,465
平成12,2000,2,出生,総数,2705
平成12,2000,2,出生,男,1370
平成12,2000,2,出生,女,1335
平成12,2000,2,死亡,総数,1952
平成12,2000,2,死亡,男,1082
平成12,2000,2,死亡,女,870
平成12,2000,2,人口増減率,,0.00015
平成12,2000,2,社会増減率,,-0.022
平成12,2000,2,自然増減率,,0.02215
平成12,2000,3,世帯数増減,,3376
平成12,2000,3,人口増減,総数,322
平成12,2000,3,人口増減,男,-790
平成12,2000,3,人口増減,女,1112
平成12,2000,3,社会増減,総数,-588
平成12,2000,3,社会増減,男,-1111
平成12,2000,3,社会増減,女,523
平成12,2000,3,市外移動_転入,総数,29547
平成12,2000,3,市外移動_転入,男,16004
平成12,2000,3,市外移動_転入,女,13543
平成12,2000,3,市外移動_転出,総数,29954
平成12,2000,3,市外移動_転出,男,16894
平成12,2000,3,市外移動_転出,女,13060
平成12,2000,3,市内移動_転入,総数,13775
平成12,2000,3,市内移動_転入,男,7172
平成12,2000,3,市内移動_転入,女,6603
平成12,2000,3,市内移動_転出,総数,13746
平成12,2000,3,市内移動_転出,男,7150
平成12,2000,3,市内移動_転出,女,6596
平成12,2000,3,その他増減,総数,-210
平成12,2000,3,その他増減,男,-243
平成12,2000,3,その他増減,女,33
平成12,2000,3,自然増減,総数,910
平成12,2000,3,自然増減,男,321
平成12,2000,3,自然増減,女,589
平成12,2000,3,出生,総数,2802
平成12,2000,3,出生,男,1415
平成12,2000,3,出生,女,1387
平成12,2000,3,死亡,総数,1892
平成12,2000,3,死亡,男,1094
平成12,2000,3,死亡,女,798
平成12,2000,3,人口増減率,,0.00947
平成12,2000,3,社会増減率,,-0.0173
平成12,2000,3,自然増減率,,0.02677
平成12,2000,4,世帯数増減,,9516
平成12,2000,4,人口増減,総数,11800
平成12,2000,4,人口増減,男,6911
平成12,2000,4,人口増減,女,4889
平成12,2000,4,社会増減,総数,10740
平成12,2000,4,社会増減,男,6446
平成12,2000,4,社会増減,女,4294
平成12,2000,4,市外移動_転入,総数,24573
平成12,2000,4,市外移動_転入,男,14517
