年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/03/01,141003,横浜市,438.23,1818337,3764821,1855204,1909617,2.07,8591,17,-1911
2025/03/01,141011,鶴見区,33.21,151052,297144,153421,143723,1.97,8947,-4,-119
2025/03/01,141020,神奈川区,23.73,136223,251452,127856,123596,1.85,10596,-13,-128
2025/03/01,141038,西区,7.03,60377,107393,54290,53103,1.78,15276,39,20
2025/03/01,141046,中区,22.01,89437,153327,77804,75523,1.71,6966,-55,-126
2025/03/01,141054,南区,12.65,109115,198919,99015,99904,1.82,15725,-30,-121
2025/03/01,141119,港南区,19.9,97570,211417,102572,108845,2.17,10624,28,-64
2025/03/01,141062,保土ケ谷区,21.93,101872,205046,100410,104636,2.01,9350,-15,-82
2025/03/01,141127,旭区,32.73,109073,240089,115339,124750,2.2,7335,51,-110
2025/03/01,141071,磯子区,19.02,80382,164315,80736,83579,2.04,8639,-4,-110
2025/03/01,141089,金沢区,30.95,90840,192792,93495,99297,2.12,6229,-14,-142
2025/03/01,141097,港北区,31.4,183623,365540,182123,183417,1.99,11641,17,-52
2025/03/01,141135,緑区,25.51,82507,182327,89399,92928,2.21,7147,10,-124
2025/03/01,141178,青葉区,35.22,136617,307335,147901,159434,2.25,8726,-103,-358
2025/03/01,141186,都筑区,27.87,89539,214629,104745,109884,2.4,7701,128,-10
2025/03/01,141101,戸塚区,35.79,126012,281692,136973,144719,2.24,7871,-58,-281
2025/03/01,141151,栄区,18.52,54611,120057,58152,61905,2.2,6483,-28,-82
2025/03/01,141160,泉区,23.58,64887,150295,72592,77703,2.32,6374,28,-8
2025/03/01,141143,瀬谷区,17.17,54600,121052,58381,62671,2.22,7050,40,-14
