年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/01/01,141003,横浜市,438.23,1819315,3769584,1857904,1911680,2.07,8602,-317,-1421
2025/01/01,141011,鶴見区,33.21,151169,297511,153622,143889,1.97,8958,108,199
2025/01/01,141020,神奈川区,23.73,136376,251783,128060,123723,1.85,10610,-15,-52
2025/01/01,141038,西区,7.03,60347,107420,54359,53061,1.78,15280,57,51
2025/01/01,141046,中区,22.01,89471,153441,77941,75500,1.71,6971,23,-44
2025/01/01,141054,南区,12.65,109276,199270,99206,100064,1.82,15753,-141,-190
2025/01/01,141119,港南区,19.9,97610,211711,102699,109012,2.17,10639,-136,-277
2025/01/01,141062,保土ケ谷区,21.93,101892,205266,100480,104786,2.01,9360,26,-39
2025/01/01,141127,旭区,32.73,109142,240501,115603,124898,2.2,7348,23,-94
2025/01/01,141071,磯子区,19.02,80343,164435,80797,83638,2.05,8645,-28,-94
2025/01/01,141089,金沢区,30.95,90966,193191,93684,99507,2.12,6242,-91,-200
2025/01/01,141097,港北区,31.4,183687,365705,182237,183468,1.99,11647,-61,-158
2025/01/01,141135,緑区,25.51,82545,182598,89560,93038,2.21,7158,14,-106
2025/01/01,141178,青葉区,35.22,136721,307875,148170,159705,2.25,8741,-20,-32
2025/01/01,141186,都筑区,27.87,89399,214698,104777,109921,2.4,7704,-25,-197
2025/01/01,141101,戸塚区,35.79,126126,282200,137236,144964,2.24,7885,-59,-112
2025/01/01,141151,栄区,18.52,54783,120343,58364,61979,2.2,6498,-37,-62
2025/01/01,141160,泉区,23.58,64896,150436,72652,77784,2.32,6380,21,-30
2025/01/01,141143,瀬谷区,17.17,54566,121200,58457,62743,2.22,7059,24,16
