年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/04/01,141003,横浜市,438.23,1827978,3769150,1857386,1911764,2.06,8601,9641,4329
2025/04/01,141011,鶴見区,33.21,152268,297998,153904,144094,1.96,8973,1216,854
2025/04/01,141020,神奈川区,23.73,137339,252242,128324,123918,1.84,10630,1116,790
2025/04/01,141038,西区,7.03,60854,107819,54523,53296,1.77,15337,477,426
2025/04/01,141046,中区,22.01,89792,153433,77853,75580,1.71,6971,355,106
2025/04/01,141054,南区,12.65,110009,199643,99367,100276,1.81,15782,894,724
2025/04/01,141119,港南区,19.9,97936,211463,102594,108869,2.16,10626,366,46
2025/04/01,141062,保土ケ谷区,21.93,102387,205283,100517,104766,2,9361,515,237
2025/04/01,141127,旭区,32.73,109489,240201,115391,124810,2.19,7339,416,112
2025/04/01,141071,磯子区,19.02,80657,164295,80706,83589,2.04,8638,275,-20
2025/04/01,141089,金沢区,30.95,91194,192807,93521,99286,2.11,6230,354,15
2025/04/01,141097,港北区,31.4,185055,366574,182687,183887,1.98,11674,1432,1034
2025/04/01,141135,緑区,25.51,82929,182420,89448,92972,2.2,7151,422,93
2025/04/01,141178,青葉区,35.22,137155,307291,147810,159481,2.24,8725,538,-44
2025/04/01,141186,都筑区,27.87,89838,214580,104678,109902,2.39,7699,299,-49
2025/04/01,141101,戸塚区,35.79,126533,281776,137028,144748,2.23,7873,521,84
2025/04/01,141151,栄区,18.52,54722,119934,58072,61862,2.19,6476,111,-123
2025/04/01,141160,泉区,23.58,65062,150315,72584,77731,2.31,6375,175,20
2025/04/01,141143,瀬谷区,17.17,54759,121076,58379,62697,2.21,7052,159,24
