年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/10/1,141003,横浜市,438.23,1792729,3754840,1849234,1905606,2.09,8568,1324,-53
2025/10/1,141011,鶴見区,33.21,148298,296717,152704,144013,2,8935,150,77
2025/10/1,141020,神奈川区,23.73,135629,252480,128059,124421,1.86,10640,217,205
2025/10/1,141038,西区,7.03,60889,108115,54285,53830,1.78,15379,83,112
2025/10/1,141046,中区,22.01,90378,154665,79113,75552,1.71,7027,86,33
2025/10/1,141054,南区,12.65,108026,198249,98523,99726,1.84,15672,92,34
2025/10/1,141119,港南区,19.9,95435,209622,101472,108150,2.2,10534,-1,-111
2025/10/1,141062,保土ケ谷区,21.93,99545,203604,100006,103598,2.05,9284,35,-92
2025/10/1,141127,旭区,32.73,107916,239616,115198,124418,2.22,7321,57,-59
2025/10/1,141071,磯子区,19.02,78173,163675,80529,83146,2.09,8605,46,-80
2025/10/1,141089,金沢区,30.95,89873,192249,93279,98970,2.14,6212,13,-87
2025/10/1,141097,港北区,31.4,179597,363645,180870,182775,2.02,11581,312,248
2025/10/1,141135,緑区,25.51,81326,180957,88523,92434,2.23,7094,53,-12
2025/10/1,141178,青葉区,35.22,135059,307249,148198,159051,2.27,8724,63,-105
2025/10/1,141186,都筑区,27.87,88152,213985,104292,109693,2.43,7678,-6,-101
2025/10/1,141101,戸塚区,35.79,123726,280969,136394,144575,2.27,7850,199,125
2025/10/1,141151,栄区,18.52,53291,119144,57574,61570,2.24,6433,-142,-231
2025/10/1,141160,泉区,23.58,63851,149491,72110,77381,2.34,6340,33,-1
2025/10/1,141143,瀬谷区,17.17,53565,120408,58105,62303,2.25,7013,34,-8
