年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/2/1,141003,横浜市,438.23,1792745,3750041,1846383,1903658,2.09,8557,-499,-2280
2026/2/1,141011,鶴見区,33.21,148468,296617,152630,143987,2,8932,48,-123
2026/2/1,141020,神奈川区,23.73,135616,252455,128027,124428,1.86,10639,-36,-83
2026/2/1,141038,西区,7.03,60889,108091,54239,53852,1.78,15376,-4,-64
2026/2/1,141046,中区,22.01,90338,154450,78954,75496,1.71,7017,-50,-71
2026/2/1,141054,南区,12.65,107826,197697,98210,99487,1.83,15628,-57,-169
2026/2/1,141119,港南区,19.9,95336,209126,101220,107906,2.19,10509,-62,-178
2026/2/1,141062,保土ケ谷区,21.93,99688,203475,99915,103560,2.04,9278,58,-25
2026/2/1,141127,旭区,32.73,107978,239347,115110,124237,2.22,7313,-67,-154
2026/2/1,141071,磯子区,19.02,78041,163239,80267,82972,2.09,8582,-36,-117
2026/2/1,141089,金沢区,30.95,89907,191767,93010,98757,2.13,6196,-7,-162
2026/2/1,141097,港北区,31.4,179682,363717,180802,182915,2.02,11583,-55,-129
2026/2/1,141135,緑区,25.51,81294,180604,88352,92252,2.22,7080,-19,-135
2026/2/1,141178,青葉区,35.22,134933,306423,147754,158669,2.27,8700,-39,-318
2026/2/1,141186,都筑区,27.87,88286,213745,104132,109613,2.42,7669,-5,-67
2026/2/1,141101,戸塚区,35.79,123831,280980,136392,144588,2.27,7851,-42,-141
2026/2/1,141151,栄区,18.52,53148,118752,57314,61438,2.23,6412,-121,-174
2026/2/1,141160,泉区,23.58,63843,149356,72042,77314,2.34,6334,-7,-39
2026/2/1,141143,瀬谷区,17.17,53641,120200,58013,62187,2.24,7001,2,-131
