年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/06/01,141003,横浜市,438.01,1814803,3772726,1859813,1912913,2.08,8613,968,-324
2024/06/01,141011,鶴見区,33.22,150636,297230,153376,143854,1.97,8947,188,132
2024/06/01,141020,神奈川区,23.73,135753,251239,127862,123377,1.85,10587,198,205
2024/06/01,141038,西区,7.03,59892,106907,54093,52814,1.78,15207,78,103
2024/06/01,141046,中区,21.74,88796,152837,77576,75261,1.72,7030,106,99
2024/06/01,141054,南区,12.65,109317,199663,99610,100053,1.83,15784,105,4
2024/06/01,141119,港南区,19.9,97745,212809,103252,109557,2.18,10694,-9,-145
2024/06/01,141062,保土ケ谷区,21.93,101796,205706,100721,104985,2.02,9380,-1,-197
2024/06/01,141127,旭区,32.73,108882,241077,115874,125203,2.21,7366,51,-32
2024/06/01,141071,磯子区,19.05,80271,164794,81003,83791,2.05,8651,21,-60
2024/06/01,141089,金沢区,30.96,91020,194128,94101,100027,2.13,6270,23,-79
2024/06/01,141097,港北区,31.4,183072,364760,181829,182931,1.99,11617,49,73
2024/06/01,141135,緑区,25.51,82284,182944,89769,93175,2.22,7171,121,127
2024/06/01,141178,青葉区,35.22,136540,308379,148479,159900,2.26,8756,-4,-167
2024/06/01,141186,都筑区,27.87,89000,215034,104986,110048,2.42,7716,85,-5
2024/06/01,141101,戸塚区,35.79,126019,282601,137558,145043,2.24,7896,-73,-181
2024/06/01,141151,栄区,18.52,54996,120980,58702,62278,2.2,6532,55,-18
2024/06/01,141160,泉区,23.58,64501,150417,72624,77793,2.33,6379,-34,-134
2024/06/01,141143,瀬谷区,17.17,54283,121221,58398,62823,2.23,7060,9,-49
