年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/05/01,141003,横浜市,438.01,1813835,3773050,1859994,1913056,2.08,8614,6491,5415
2024/05/01,141011,鶴見区,33.22,150448,297098,153327,143771,1.97,8943,750,812
2024/05/01,141020,神奈川区,23.73,135555,251034,127786,123248,1.85,10579,700,683
2024/05/01,141038,西区,7.03,59814,106804,54038,52766,1.79,15193,312,323
2024/05/01,141046,中区,21.74,88690,152738,77567,75171,1.72,7026,532,546
2024/05/01,141054,南区,12.65,109212,199659,99602,100057,1.83,15783,450,363
2024/05/01,141119,港南区,19.9,97754,212954,103336,109618,2.18,10701,166,-5
2024/05/01,141062,保土ケ谷区,21.93,101797,205903,100845,105058,2.02,9389,470,409
2024/05/01,141127,旭区,32.73,108831,241109,115854,125255,2.22,7367,149,18
2024/05/01,141071,磯子区,19.05,80250,164854,81019,83835,2.05,8654,245,175
2024/05/01,141089,金沢区,30.96,90997,194207,94121,100086,2.13,6273,307,179
2024/05/01,141097,港北区,31.4,183023,364687,181741,182946,1.99,11614,562,612
2024/05/01,141135,緑区,25.51,82163,182817,89714,93103,2.23,7166,189,163
2024/05/01,141178,青葉区,35.22,136544,308546,148560,159986,2.26,8761,436,242
2024/05/01,141186,都筑区,27.87,88915,215039,104982,110057,2.42,7716,236,287
2024/05/01,141101,戸塚区,35.79,126092,282782,137670,145112,2.24,7901,460,350
2024/05/01,141151,栄区,18.52,54941,120998,58684,62314,2.2,6533,405,350
2024/05/01,141160,泉区,23.58,64535,150551,72708,77843,2.33,6385,65,-74
2024/05/01,141143,瀬谷区,17.17,54274,121270,58440,62830,2.23,7063,57,-18
