年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/07/01,141003,横浜市,438.01,1815909,3772190,1859310,1912880,2.08,8612,1106,-536
2024/07/01,141011,鶴見区,33.22,150626,297119,153309,143810,1.97,8944,-10,-111
2024/07/01,141020,神奈川区,23.73,135912,251371,127912,123459,1.85,10593,159,132
2024/07/01,141038,西区,7.03,59929,106938,54089,52849,1.78,15212,37,31
2024/07/01,141046,中区,21.74,88760,152720,77520,75200,1.72,7025,-36,-117
2024/07/01,141054,南区,12.65,109267,199538,99523,100015,1.83,15774,-50,-125
2024/07/01,141119,港南区,19.9,97772,212671,103193,109478,2.18,10687,27,-138
2024/07/01,141062,保土ケ谷区,21.93,101840,205616,100679,104937,2.02,9376,44,-90
2024/07/01,141127,旭区,32.73,108962,241036,115854,125182,2.21,7364,80,-41
2024/07/01,141071,磯子区,19.05,80291,164766,80988,83778,2.05,8649,20,-28
2024/07/01,141089,金沢区,30.96,91245,194185,94064,100121,2.13,6272,225,57
2024/07/01,141097,港北区,31.4,183176,364815,181820,182995,1.99,11618,104,55
2024/07/01,141135,緑区,25.51,82368,182975,89777,93198,2.22,7173,84,31
2024/07/01,141178,青葉区,35.22,136603,308271,148387,159884,2.26,8753,63,-108
2024/07/01,141186,都筑区,27.87,89122,215010,104937,110073,2.41,7715,122,-24
2024/07/01,141101,戸塚区,35.79,126109,282564,137515,145049,2.24,7895,90,-37
2024/07/01,141151,栄区,18.52,55000,120924,58684,62240,2.2,6529,4,-56
2024/07/01,141160,泉区,23.58,64540,150413,72621,77792,2.33,6379,39,-4
2024/07/01,141143,瀬谷区,17.17,54387,121258,58438,62820,2.23,7062,104,37
