年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/7/1,141003,横浜市,438.23,1811626,3758990,1850976,1908014,2.07,8578,871,-625
2026/7/1,141011,鶴見区,33.21,150569,298200,153735,144465,1.98,8979,44,-18
2026/7/1,141020,神奈川区,23.73,137630,254346,129022,125324,1.85,10718,-6,-46
2026/7/1,141038,西区,7.03,61778,108726,54530,54196,1.76,15466,38,-9
2026/7/1,141046,中区,22.01,90736,154436,79001,75435,1.7,7017,-25,-123
2026/7/1,141054,南区,12.65,109710,198934,98822,100112,1.81,15726,137,44
2026/7/1,141119,港南区,19.9,95802,208725,101014,107711,2.18,10489,20,-137
2026/7/1,141062,保土ケ谷区,21.93,100749,203805,100003,103802,2.02,9293,81,-38
2026/7/1,141127,旭区,32.73,108756,239512,115234,124278,2.2,7318,12,-22
2026/7/1,141071,磯子区,19.02,78945,163712,80507,83205,2.07,8607,135,104
2026/7/1,141089,金沢区,30.95,90855,191930,93125,98805,2.11,6201,73,-31
2026/7/1,141097,港北区,31.4,182030,365668,181845,183823,2.01,11645,174,166
2026/7/1,141135,緑区,25.51,81728,180155,88029,92126,2.2,7062,5,-76
2026/7/1,141178,青葉区,35.22,136271,307239,148115,159124,2.25,8723,32,-92
2026/7/1,141186,都筑区,27.87,89034,213636,103961,109675,2.4,7665,52,-85
2026/7/1,141101,戸塚区,35.79,124820,281206,136429,144777,2.25,7857,41,-94
2026/7/1,141151,栄区,18.52,53716,118812,57403,61409,2.21,6415,-37,-143
2026/7/1,141160,泉区,23.58,64441,149856,72243,77613,2.33,6355,65,36
2026/7/1,141143,瀬谷区,17.17,54056,120092,57958,62134,2.22,6994,30,-61
