年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/12/1,141003,横浜市,438.23,1793808,3753908,1848753,1905155,2.09,8566,-178,-1219
2025/12/1,141011,鶴見区,33.21,148571,296963,152871,144092,2,8942,2,-21
2025/12/1,141020,神奈川区,23.73,135733,252616,128134,124482,1.86,10645,-49,-52
2025/12/1,141038,西区,7.03,60961,108213,54326,53887,1.78,15393,4,16
2025/12/1,141046,中区,22.01,90413,154609,79034,75575,1.71,7024,8,-36
2025/12/1,141054,南区,12.65,107998,198064,98445,99619,1.83,15657,-91,-171
2025/12/1,141119,港南区,19.9,95433,209437,101404,108033,2.19,10524,7,-89
2025/12/1,141062,保土ケ谷区,21.93,99650,203589,99949,103640,2.04,9284,-31,-122
2025/12/1,141127,旭区,32.73,107998,239495,115193,124302,2.22,7317,1,-96
2025/12/1,141071,磯子区,19.02,78130,163501,80440,83061,2.09,8596,-24,-90
2025/12/1,141089,金沢区,30.95,89867,191967,93131,98836,2.14,6202,-13,-164
2025/12/1,141097,港北区,31.4,179708,363774,180917,182857,2.02,11585,90,180
2025/12/1,141135,緑区,25.51,81354,180854,88473,92381,2.22,7090,-47,-79
2025/12/1,141178,青葉区,35.22,135078,306961,148034,158927,2.27,8716,-36,-209
2025/12/1,141186,都筑区,27.87,88285,213954,104295,109659,2.42,7677,68,-20
2025/12/1,141101,戸塚区,35.79,123853,281127,136468,144659,2.27,7855,-24,-112
2025/12/1,141151,栄区,18.52,53303,119042,57520,61522,2.23,6428,-50,-76
2025/12/1,141160,泉区,23.58,63846,149371,72031,77340,2.34,6335,15,-22
2025/12/1,141143,瀬谷区,17.17,53627,120371,58088,62283,2.24,7011,-8,-56
