年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/3/1,141003,横浜市,438.23,1792965,3748451,1845554,1902897,2.09,8554,220,-1590
2026/3/1,141011,鶴見区,33.21,148464,296471,152611,143860,2,8927,-4,-146
2026/3/1,141020,神奈川区,23.73,135495,252324,127911,124413,1.86,10633,-121,-131
2026/3/1,141038,西区,7.03,60916,108071,54228,53843,1.77,15373,27,-20
2026/3/1,141046,中区,22.01,90267,154262,78842,75420,1.71,7009,-71,-188
2026/3/1,141054,南区,12.65,107817,197569,98176,99393,1.83,15618,-9,-128
2026/3/1,141119,港南区,19.9,95320,208941,101128,107813,2.19,10500,-16,-185
2026/3/1,141062,保土ケ谷区,21.93,99635,203281,99783,103498,2.04,9270,-53,-194
2026/3/1,141127,旭区,32.73,108033,239281,115113,124168,2.21,7311,55,-66
2026/3/1,141071,磯子区,19.02,78028,163145,80208,82937,2.09,8578,-13,-94
2026/3/1,141089,金沢区,30.95,89959,191700,92965,98735,2.13,6194,52,-67
2026/3/1,141097,港北区,31.4,179652,363575,180718,182857,2.02,11579,-30,-142
2026/3/1,141135,緑区,25.51,81228,180394,88222,92172,2.22,7072,-66,-210
2026/3/1,141178,青葉区,35.22,135073,306648,147871,158777,2.27,8707,140,225
2026/3/1,141186,都筑区,27.87,88371,213650,104093,109557,2.42,7666,85,-95
2026/3/1,141101,戸塚区,35.79,123889,280934,136370,144564,2.27,7850,58,-46
2026/3/1,141151,栄区,18.52,53233,118780,57352,61428,2.23,6414,85,28
2026/3/1,141160,泉区,23.58,63884,149299,72000,77299,2.34,6332,41,-57
2026/3/1,141143,瀬谷区,17.17,53701,120126,57963,62163,2.24,6996,60,-74
