年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/01/01,141003,横浜市,438.01,1800110,3769220,1857980,1911240,2.09,8605,-184,-959
2024/01/01,141011,鶴見区,33.22,148477,295648,152546,143102,1.99,8900,-5,-76
2024/01/01,141020,神奈川区,23.73,133811,249672,126965,122707,1.87,10521,-95,-157
2024/01/01,141038,西区,7.03,59195,106376,53833,52543,1.8,15132,-90,-133
2024/01/01,141046,中区,21.74,87787,152133,77152,74981,1.73,6998,45,56
2024/01/01,141054,南区,12.65,108002,198852,99164,99688,1.84,15720,-20,-83
2024/01/01,141119,港南区,19.9,97410,213410,103615,109795,2.19,10724,-3,-115
2024/01/01,141062,保土ケ谷区,21.93,101108,205757,100769,104988,2.04,9382,-9,-58
2024/01/01,141127,旭区,32.73,108425,241425,116092,125333,2.23,7376,33,-64
2024/01/01,141071,磯子区,19.05,79916,165004,81095,83909,2.06,8662,-27,-105
2024/01/01,141089,金沢区,30.96,90569,194475,94281,100194,2.15,6281,-82,-194
2024/01/01,141097,港北区,31.4,181160,363062,180873,182189,2,11562,-57,49
2024/01/01,141135,緑区,25.51,81668,182807,89736,93071,2.24,7166,8,-53
2024/01/01,141178,青葉区,35.22,135908,309079,148873,160206,2.27,8776,-56,-167
2024/01/01,141186,都筑区,27.87,88415,215307,105192,110115,2.44,7725,3,-16
2024/01/01,141101,戸塚区,35.79,125390,283068,137810,145258,2.26,7909,5,63
2024/01/01,141151,栄区,18.52,54479,120900,58610,62290,2.22,6528,61,46
2024/01/01,141160,泉区,23.58,64229,150674,72761,77913,2.35,6390,58,2
2024/01/01,141143,瀬谷区,17.17,54161,121571,58613,62958,2.24,7080,47,46
