年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/08/01,141003,横浜市,438.23,1836843,3772737,1859132,1913605,2.05,8609,242,-739
2025/08/01,141011,鶴見区,33.21,153003,298597,154169,144428,1.95,8991,142,144
2025/08/01,141020,神奈川区,23.73,138474,253514,128881,124633,1.83,10683,59,176
2025/08/01,141038,西区,7.03,61304,108292,54729,53563,1.77,15404,61,73
2025/08/01,141046,中区,22.01,90879,154261,78370,75891,1.7,7009,57,20
2025/08/01,141054,南区,12.65,110658,200050,99497,100553,1.81,15814,-1,-64
2025/08/01,141119,港南区,19.9,98311,211471,102616,108855,2.15,10627,75,-11
2025/08/01,141062,保土ケ谷区,21.93,103098,205733,100850,104883,2,9381,41,-48
2025/08/01,141127,旭区,32.73,109779,240024,115320,124704,2.19,7333,-4,-113
2025/08/01,141071,磯子区,19.02,80879,164066,80710,83356,2.03,8626,-18,-134
2025/08/01,141089,金沢区,30.95,91526,192623,93394,99229,2.1,6224,8,-59
2025/08/01,141097,港北区,31.4,185754,367291,182970,184321,1.98,11697,-257,-238
2025/08/01,141135,緑区,25.51,83273,182409,89420,92989,2.19,7150,9,-68
2025/08/01,141178,青葉区,35.22,137730,307261,147792,159469,2.23,8724,24,-162
2025/08/01,141186,都筑区,27.87,89979,214246,104449,109797,2.38,7687,31,-53
2025/08/01,141101,戸塚区,35.79,126992,281739,137015,144724,2.22,7872,-92,-179
2025/08/01,141151,栄区,18.52,55115,120083,58195,61888,2.18,6484,8,26
2025/08/01,141160,泉区,23.58,65118,150135,72489,77646,2.31,6367,20,-51
2025/08/01,141143,瀬谷区,17.17,54971,120942,58266,62676,2.2,7044,79,2
