年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/11/1,141003,横浜市,438.23,1793986,3755127,1849352,1905775,2.09,8569,1257,287
2025/11/1,141011,鶴見区,33.21,148569,296984,152874,144110,2,8943,271,267
2025/11/1,141020,神奈川区,23.73,135782,252668,128118,124550,1.86,10648,153,188
2025/11/1,141038,西区,7.03,60957,108197,54331,53866,1.77,15391,68,82
2025/11/1,141046,中区,22.01,90405,154645,79072,75573,1.71,7026,27,-20
2025/11/1,141054,南区,12.65,108089,198235,98510,99725,1.83,15671,63,-14
2025/11/1,141119,港南区,19.9,95426,209526,101436,108090,2.2,10529,-9,-96
2025/11/1,141062,保土ケ谷区,21.93,99681,203711,100032,103679,2.04,9289,136,107
2025/11/1,141127,旭区,32.73,107997,239591,115194,124397,2.22,7320,81,-25
2025/11/1,141071,磯子区,19.02,78154,163591,80508,83083,2.09,8601,-19,-84
2025/11/1,141089,金沢区,30.95,89880,192131,93233,98898,2.14,6208,7,-118
2025/11/1,141097,港北区,31.4,179618,363594,180840,182754,2.02,11579,21,-51
2025/11/1,141135,緑区,25.51,81401,180933,88518,92415,2.22,7093,75,-24
2025/11/1,141178,青葉区,35.22,135114,307170,148126,159044,2.27,8721,55,-79
2025/11/1,141186,都筑区,27.87,88217,213974,104301,109673,2.43,7678,65,-11
2025/11/1,141101,戸塚区,35.79,123877,281239,136542,144697,2.27,7858,151,270
2025/11/1,141151,栄区,18.52,53353,119118,57560,61558,2.23,6432,62,-26
2025/11/1,141160,泉区,23.58,63831,149393,72040,77353,2.34,6336,-20,-98
2025/11/1,141143,瀬谷区,17.17,53635,120427,58117,62310,2.25,7014,70,19
