年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/04/01,141003,横浜市,438.01,1807344,3767635,1857066,1910569,2.08,8602,8285,2674
2024/04/01,141011,鶴見区,33.22,149698,296286,152898,143388,1.98,8919,1344,950
2024/04/01,141020,神奈川区,23.73,134855,250351,127461,122890,1.86,10550,1088,743
2024/04/01,141038,西区,7.03,59502,106481,53889,52592,1.79,15147,383,222
2024/04/01,141046,中区,21.74,88158,152192,77202,74990,1.73,7001,370,111
2024/04/01,141054,南区,12.65,108762,199296,99395,99901,1.83,15755,888,720
2024/04/01,141119,港南区,19.9,97588,212959,103323,109636,2.18,10701,232,-110
2024/04/01,141062,保土ケ谷区,21.93,101327,205494,100633,104861,2.03,9370,399,146
2024/04/01,141127,旭区,32.73,108682,241091,115859,125232,2.22,7366,324,49
2024/04/01,141071,磯子区,19.05,80005,164679,80930,83749,2.06,8645,142,-76
2024/04/01,141089,金沢区,30.96,90690,194028,94011,100017,2.14,6267,202,-148
2024/04/01,141097,港北区,31.4,182461,364075,181425,182650,2,11595,1269,970
2024/04/01,141135,緑区,25.51,81974,182654,89611,93043,2.23,7160,301,-17
2024/04/01,141178,青葉区,35.22,136108,308304,148465,159839,2.27,8754,430,-215
2024/04/01,141186,都筑区,27.87,88679,214752,104846,109906,2.42,7705,216,-324
2024/04/01,141101,戸塚区,35.79,125632,282432,137460,144972,2.25,7891,374,-133
2024/04/01,141151,栄区,18.52,54536,120648,58434,62214,2.21,6514,121,-59
2024/04/01,141160,泉区,23.58,64470,150625,72757,77868,2.34,6388,137,-59
2024/04/01,141143,瀬谷区,17.17,54217,121288,58467,62821,2.24,7064,65,-96
