年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/02/01,141003,横浜市,438.01,1799225,3766718,1856606,1910112,2.09,8600,-885,-2502
2024/02/01,141011,鶴見区,33.22,148366,295502,152497,143005,1.99,8895,-111,-146
2024/02/01,141020,神奈川区,23.73,133732,249499,126857,122642,1.87,10514,-79,-173
2024/02/01,141038,西区,7.03,59166,106323,53789,52534,1.8,15124,-29,-53
2024/02/01,141046,中区,21.74,87807,152131,77139,74992,1.73,6998,20,-2
2024/02/01,141054,南区,12.65,107822,198585,99026,99559,1.84,15698,-180,-267
2024/02/01,141119,港南区,19.9,97344,213213,103509,109704,2.19,10714,-66,-197
2024/02/01,141062,保土ケ谷区,21.93,101074,205624,100711,104913,2.03,9376,-34,-133
2024/02/01,141127,旭区,32.73,108344,241168,115945,125223,2.23,7368,-81,-257
2024/02/01,141071,磯子区,19.05,79883,164882,81010,83872,2.06,8655,-33,-122
2024/02/01,141089,金沢区,30.96,90538,194335,94222,100113,2.15,6277,-31,-140
2024/02/01,141097,港北区,31.4,181181,363126,180903,182223,2,11565,21,64
2024/02/01,141135,緑区,25.51,81652,182698,89660,93038,2.24,7162,-16,-109
2024/02/01,141178,青葉区,35.22,135793,308795,148744,160051,2.27,8768,-115,-284
2024/02/01,141186,都筑区,27.87,88446,215228,105140,110088,2.43,7723,31,-79
2024/02/01,141101,戸塚区,35.79,125285,282763,137660,145103,2.26,7901,-105,-305
2024/02/01,141151,栄区,18.52,54410,120744,58498,62246,2.22,6520,-69,-156
2024/02/01,141160,泉区,23.58,64254,150646,72767,77879,2.34,6389,25,-28
2024/02/01,141143,瀬谷区,17.17,54128,121456,58529,62927,2.24,7074,-33,-115
