年（和暦）,年（西暦）,種別,性別,数・率
昭和54,1979,世帯数増減,,7675
昭和54,1979,人口増減,総数,30035
昭和54,1979,人口増減,男,14170
昭和54,1979,人口増減,女,15865
昭和54,1979,社会増減,総数,712
昭和54,1979,社会増減,男,-690
昭和54,1979,社会増減,女,1402
昭和54,1979,市外移動_転入,総数,164686
昭和54,1979,市外移動_転入,男,91358
昭和54,1979,市外移動_転入,女,73328
昭和54,1979,市外移動_転出,総数,162397
昭和54,1979,市外移動_転出,男,90597
昭和54,1979,市外移動_転出,女,71800
昭和54,1979,市内移動_転入,総数,83017
昭和54,1979,市内移動_転入,男,43814
昭和54,1979,市内移動_転入,女,39203
昭和54,1979,市内移動_転出,総数,83016
昭和54,1979,市内移動_転出,男,43763
昭和54,1979,市内移動_転出,女,39253
昭和54,1979,その他増減,総数,-1578
昭和54,1979,その他増減,男,-1502
昭和54,1979,その他増減,女,-76
昭和54,1979,自然増減,総数,29323
昭和54,1979,自然増減,男,14860
昭和54,1979,自然増減,女,14463
昭和54,1979,出生,総数,40306
昭和54,1979,出生,男,21027
昭和54,1979,出生,女,19279
昭和54,1979,死亡,総数,10983
昭和54,1979,死亡,男,6167
昭和54,1979,死亡,女,4816
昭和54,1979,人口増減率,,1.09578
昭和54,1979,社会増減率,,0.02598
昭和54,1979,自然増減率,,1.06981
昭和55,1980,世帯数増減,,9628
昭和55,1980,人口増減,総数,27337
昭和55,1980,人口増減,男,14123
昭和55,1980,人口増減,女,13214
昭和55,1980,社会増減,総数,1043
昭和55,1980,社会増減,男,1196
昭和55,1980,社会増減,女,-153
昭和55,1980,市外移動_転入,総数,157616
昭和55,1980,市外移動_転入,男,88468
昭和55,1980,市外移動_転入,女,69148
昭和55,1980,市外移動_転出,総数,156070
昭和55,1980,市外移動_転出,男,87129
昭和55,1980,市外移動_転出,女,68941
昭和55,1980,市内移動_転入,総数,81598
昭和55,1980,市内移動_転入,男,42762
昭和55,1980,市内移動_転入,女,38836
昭和55,1980,市内移動_転出,総数,82022
昭和55,1980,市内移動_転出,男,42878
昭和55,1980,市内移動_転出,女,39144
