年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/5/1,141003,横浜市,438.23,1809823,3759385,1851227,1908158,2.08,8579,6154,5627
2026/5/1,141011,鶴見区,33.21,150402,298072,153627,144445,1.98,8975,630,588
2026/5/1,141020,神奈川区,23.73,137573,254262,128902,125360,1.85,10715,997,1060
2026/5/1,141038,西区,7.03,61751,108751,54581,54170,1.76,15470,281,343
2026/5/1,141046,中区,22.01,90822,154643,79122,75521,1.7,7026,264,351
2026/5/1,141054,南区,12.65,109450,198809,98821,99988,1.82,15716,503,354
2026/5/1,141119,港南区,19.9,95691,208829,101052,107777,2.18,10494,121,97
2026/5/1,141062,保土ケ谷区,21.93,100643,203911,100097,103814,2.03,9298,406,364
2026/5/1,141127,旭区,32.73,108673,239513,115241,124272,2.2,7318,214,152
2026/5/1,141071,磯子区,19.02,78700,163547,80406,83141,2.08,8599,232,203
2026/5/1,141089,金沢区,30.95,90810,192078,93173,98905,2.12,6206,291,218
2026/5/1,141097,港北区,31.4,181686,365221,181616,183605,2.01,11631,473,488
2026/5/1,141135,緑区,25.51,81711,180323,88121,92202,2.21,7069,109,-45
2026/5/1,141178,青葉区,35.22,136235,307411,148221,159190,2.26,8728,475,427
2026/5/1,141186,都筑区,27.87,88883,213766,104041,109725,2.41,7670,214,267
2026/5/1,141101,戸塚区,35.79,124725,281292,136493,144799,2.26,7860,274,177
2026/5/1,141151,栄区,18.52,53799,119062,57525,61537,2.21,6429,459,401
2026/5/1,141160,泉区,23.58,64306,149743,72209,77534,2.33,6350,151,206
2026/5/1,141143,瀬谷区,17.17,53963,120152,57979,62173,2.23,6998,60,-24
