年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/07/01,141003,横浜市,438.23,1836601,3773476,1859408,1914068,2.05,8611,937,-703
2025/07/01,141011,鶴見区,33.21,152861,298453,154056,144397,1.95,8987,69,-31
2025/07/01,141020,神奈川区,23.73,138415,253338,128784,124554,1.83,10676,135,202
2025/07/01,141038,西区,7.03,61243,108219,54717,53502,1.77,15394,12,0
2025/07/01,141046,中区,22.01,90822,154241,78373,75868,1.7,7008,69,-92
2025/07/01,141054,南区,12.65,110659,200114,99546,100568,1.81,15819,-10,-133
2025/07/01,141119,港南区,19.9,98236,211482,102595,108887,2.15,10627,0,-122
2025/07/01,141062,保土ケ谷区,21.93,103057,205781,100853,104928,2,9384,64,-21
2025/07/01,141127,旭区,32.73,109783,240137,115355,124782,2.19,7337,57,-72
2025/07/01,141071,磯子区,19.02,80897,164200,80712,83488,2.03,8633,17,-109
2025/07/01,141089,金沢区,30.95,91518,192682,93420,99262,2.11,6226,65,-52
2025/07/01,141097,港北区,31.4,186011,367529,183106,184423,1.98,11705,106,69
2025/07/01,141135,緑区,25.51,83264,182477,89446,93031,2.19,7153,126,28
2025/07/01,141178,青葉区,35.22,137706,307423,147864,159559,2.23,8729,36,-196
2025/07/01,141186,都筑区,27.87,89948,214299,104473,109826,2.38,7689,7,-63
2025/07/01,141101,戸塚区,35.79,127084,281918,137131,144787,2.22,7877,132,28
2025/07/01,141151,栄区,18.52,55107,120057,58205,61852,2.18,6483,11,-53
2025/07/01,141160,泉区,23.58,65098,150186,72497,77689,2.31,6369,-5,-73
2025/07/01,141143,瀬谷区,17.17,54892,120940,58275,62665,2.2,7044,46,-13
