年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/05/01,141003,横浜市,438.23,1834488,3774447,1860123,1914324,2.06,8613,6510,5297
2025/05/01,141011,鶴見区,33.21,152797,298475,154141,144334,1.95,8988,529,477
2025/05/01,141020,神奈川区,23.73,138154,253041,128736,124305,1.83,10663,815,799
2025/05/01,141038,西区,7.03,61237,108240,54721,53519,1.77,15397,383,421
2025/05/01,141046,中区,22.01,90468,154145,78243,75902,1.7,7003,676,712
2025/05/01,141054,南区,12.65,110516,200121,99610,100511,1.81,15820,507,478
2025/05/01,141119,港南区,19.9,98127,211531,102623,108908,2.16,10630,191,68
2025/05/01,141062,保土ケ谷区,21.93,102897,205732,100775,104957,2,9381,510,449
2025/05/01,141127,旭区,32.73,109648,240202,115367,124835,2.19,7339,159,1
2025/05/01,141071,磯子区,19.02,80853,164419,80858,83561,2.03,8645,196,124
2025/05/01,141089,金沢区,30.95,91415,192870,93512,99358,2.11,6232,221,63
2025/05/01,141097,港北区,31.4,185775,367260,183033,184227,1.98,11696,720,686
2025/05/01,141135,緑区,25.51,83110,182538,89512,93026,2.2,7156,181,118
2025/05/01,141178,青葉区,35.22,137638,307812,148052,159760,2.24,8740,483,521
2025/05/01,141186,都筑区,27.87,89948,214538,104633,109905,2.39,7698,110,-42
2025/05/01,141101,戸塚区,35.79,126817,281891,137107,144784,2.22,7876,284,115
2025/05/01,141151,栄区,18.52,55096,120208,58275,61933,2.18,6491,374,274
2025/05/01,141160,泉区,23.58,65142,150360,72595,77765,2.31,6377,80,45
2025/05/01,141143,瀬谷区,17.17,54850,121064,58330,62734,2.21,7051,91,-12
