年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2025/06/01,141003,横浜市,438.23,1835664,3774179,1859936,1914243,2.06,8612,1176,-268
2025/06/01,141011,鶴見区,33.21,152792,298484,154145,144339,1.95,8988,-5,9
2025/06/01,141020,神奈川区,23.73,138280,253136,128717,124419,1.83,10667,126,95
2025/06/01,141038,西区,7.03,61231,108219,54721,53498,1.77,15394,-6,-21
2025/06/01,141046,中区,22.01,90753,154333,78376,75957,1.7,7012,285,188
2025/06/01,141054,南区,12.65,110669,200247,99657,100590,1.81,15830,153,126
2025/06/01,141119,港南区,19.9,98236,211604,102642,108962,2.15,10633,109,73
2025/06/01,141062,保土ケ谷区,21.93,102993,205802,100850,104952,2,9384,96,70
2025/06/01,141127,旭区,32.73,109726,240209,115380,124829,2.19,7339,78,7
2025/06/01,141071,磯子区,19.02,80880,164309,80794,83515,2.03,8639,27,-110
2025/06/01,141089,金沢区,30.95,91453,192734,93449,99285,2.11,6227,38,-136
2025/06/01,141097,港北区,31.4,185905,367460,183108,184352,1.98,11703,130,200
2025/06/01,141135,緑区,25.51,83138,182449,89443,93006,2.19,7152,28,-89
2025/06/01,141178,青葉区,35.22,137670,307619,147950,159669,2.23,8734,32,-193
2025/06/01,141186,都筑区,27.87,89941,214362,104519,109843,2.38,7691,-7,-176
2025/06/01,141101,戸塚区,35.79,126952,281890,137115,144775,2.22,7876,135,-1
2025/06/01,141151,栄区,18.52,55096,120110,58238,61872,2.18,6485,0,-98
2025/06/01,141160,泉区,23.58,65103,150259,72546,77713,2.31,6372,-39,-101
2025/06/01,141143,瀬谷区,17.17,54846,120953,58286,62667,2.21,7044,-4,-111
