年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/1/1,141003,横浜市,438.23,1793244,3752321,1847664,1904657,2.09,8562,-564,-1587
2026/1/1,141011,鶴見区,33.21,148420,296740,152733,144007,2,8935,-151,-223
2026/1/1,141020,神奈川区,23.73,135652,252538,128036,124502,1.86,10642,-81,-78
2026/1/1,141038,西区,7.03,60893,108155,54290,53865,1.78,15385,-68,-58
2026/1/1,141046,中区,22.01,90388,154521,79003,75518,1.71,7020,-25,-88
2026/1/1,141054,南区,12.65,107883,197866,98339,99527,1.83,15642,-115,-198
2026/1/1,141119,港南区,19.9,95398,209304,101289,108015,2.19,10518,-35,-133
2026/1/1,141062,保土ケ谷区,21.93,99630,203500,99894,103606,2.04,9280,-20,-89
2026/1/1,141127,旭区,32.73,108045,239501,115200,124301,2.22,7317,47,6
2026/1/1,141071,磯子区,19.02,78077,163356,80336,83020,2.09,8589,-53,-145
2026/1/1,141089,金沢区,30.95,89914,191929,93084,98845,2.13,6201,47,-38
2026/1/1,141097,港北区,31.4,179737,363846,180872,182974,2.02,11587,29,72
2026/1/1,141135,緑区,25.51,81313,180739,88410,92329,2.22,7085,-41,-115
2026/1/1,141178,青葉区,35.22,134972,306741,147946,158795,2.27,8709,-106,-220
2026/1/1,141186,都筑区,27.87,88291,213812,104187,109625,2.42,7672,6,-142
2026/1/1,141101,戸塚区,35.79,123873,281121,136453,144668,2.27,7855,20,-6
2026/1/1,141151,栄区,18.52,53269,118926,57449,61477,2.23,6421,-34,-116
2026/1/1,141160,泉区,23.58,63850,149395,72068,77327,2.34,6336,4,24
2026/1/1,141143,瀬谷区,17.17,53639,120331,58075,62256,2.24,7008,12,-40
