年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/12/01,141003,横浜市,438.23,1819632,3771005,1858767,1912238,2.07,8605,-143,-1118
2024/12/01,141011,鶴見区,33.21,151061,297312,153501,143811,1.97,8952,52,10
2024/12/01,141020,神奈川区,23.73,136391,251835,128108,123727,1.85,10613,116,164
2024/12/01,141038,西区,7.03,60290,107369,54375,52994,1.78,15273,16,4
2024/12/01,141046,中区,22.01,89448,153485,77957,75528,1.72,6973,-25,-43
2024/12/01,141054,南区,12.65,109417,199460,99328,100132,1.82,15768,-104,-133
2024/12/01,141119,港南区,19.9,97746,211988,102838,109150,2.17,10653,-22,-171
2024/12/01,141062,保土ケ谷区,21.93,101866,205305,100532,104773,2.02,9362,-41,-83
2024/12/01,141127,旭区,32.73,109119,240595,115669,124926,2.2,7351,30,-86
2024/12/01,141071,磯子区,19.02,80371,164529,80853,83676,2.05,8650,-57,-79
2024/12/01,141089,金沢区,30.95,91057,193391,93751,99640,2.12,6248,-247,-386
2024/12/01,141097,港北区,31.4,183748,365863,182353,183510,1.99,11652,17,67
2024/12/01,141135,緑区,25.51,82531,182704,89616,93088,2.21,7162,28,-37
2024/12/01,141178,青葉区,35.22,136741,307907,148201,159706,2.25,8742,-12,-110
2024/12/01,141186,都筑区,27.87,89424,214895,104867,110028,2.4,7711,5,-104
2024/12/01,141101,戸塚区,35.79,126185,282312,137322,144990,2.24,7888,18,-66
2024/12/01,141151,栄区,18.52,54820,120405,58396,62009,2.2,6501,7,-57
2024/12/01,141160,泉区,23.58,64875,150466,72651,77815,2.32,6381,40,-7
2024/12/01,141143,瀬谷区,17.17,54542,121184,58449,62735,2.22,7058,36,-1
