年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/08/01,141003,横浜市,438.23,1816409,3771769,1859296,1912473,2.08,8607,500,-421
2024/08/01,141011,鶴見区,33.21,150734,297258,153412,143846,1.97,8951,108,139
2024/08/01,141020,神奈川区,23.73,135926,251355,127962,123393,1.85,10592,14,-16
2024/08/01,141038,西区,7.03,59990,107037,54154,52883,1.78,15226,61,99
2024/08/01,141046,中区,22.01,88891,152868,77647,75221,1.72,6945,131,148
2024/08/01,141054,南区,12.65,109353,199607,99510,100097,1.83,15779,86,69
2024/08/01,141119,港南区,19.9,97763,212519,103146,109373,2.17,10679,-9,-152
2024/08/01,141062,保土ケ谷区,21.93,101848,205518,100618,104900,2.02,9372,8,-98
2024/08/01,141127,旭区,32.73,109074,241021,115864,125157,2.21,7364,112,-15
2024/08/01,141071,磯子区,19.02,80336,164749,80978,83771,2.05,8662,45,-17
2024/08/01,141089,金沢区,30.95,91275,194091,94054,100037,2.13,6271,30,-94
2024/08/01,141097,港北区,31.4,183099,364878,181857,183021,1.99,11620,-77,63
2024/08/01,141135,緑区,25.51,82417,182967,89772,93195,2.22,7172,49,-8
2024/08/01,141178,青葉区,35.22,136633,308176,148354,159822,2.26,8750,30,-95
2024/08/01,141186,都筑区,27.87,89143,214968,104937,110031,2.41,7713,21,-42
2024/08/01,141101,戸塚区,35.79,125943,282338,137362,144976,2.24,7889,-166,-226
2024/08/01,141151,栄区,18.52,54960,120798,58623,62175,2.2,6523,-40,-126
2024/08/01,141160,泉区,23.58,64634,150443,72628,77815,2.33,6380,94,30
2024/08/01,141143,瀬谷区,17.17,54390,121178,58418,62760,2.23,7058,3,-80
