年（和暦）,年（西暦）,行政区,種別,性別,数・率
平成12,2000,鶴見区,世帯数増減,,1743
平成12,2000,鶴見区,人口増減,総数,2308
平成12,2000,鶴見区,人口増減,男,1147
平成12,2000,鶴見区,人口増減,女,1161
平成12,2000,鶴見区,社会増減,総数,1402
平成12,2000,鶴見区,社会増減,男,817
平成12,2000,鶴見区,社会増減,女,585
平成12,2000,鶴見区,市外移動_転入,総数,14824
平成12,2000,鶴見区,市外移動_転入,男,8429
平成12,2000,鶴見区,市外移動_転入,女,6395
平成12,2000,鶴見区,市外移動_転出,総数,12746
平成12,2000,鶴見区,市外移動_転出,男,7204
平成12,2000,鶴見区,市外移動_転出,女,5542
平成12,2000,鶴見区,市内移動_転入,総数,4289
平成12,2000,鶴見区,市内移動_転入,男,2267
平成12,2000,鶴見区,市内移動_転入,女,2022
平成12,2000,鶴見区,市内移動_転出,総数,4900
平成12,2000,鶴見区,市内移動_転出,男,2594
平成12,2000,鶴見区,市内移動_転出,女,2306
平成12,2000,鶴見区,その他増減,総数,-65
平成12,2000,鶴見区,その他増減,男,-81
平成12,2000,鶴見区,その他増減,女,16
平成12,2000,鶴見区,自然増減,総数,906
平成12,2000,鶴見区,自然増減,男,330
平成12,2000,鶴見区,自然増減,女,576
平成12,2000,鶴見区,出生,総数,2676
平成12,2000,鶴見区,出生,男,1369
平成12,2000,鶴見区,出生,女,1307
平成12,2000,鶴見区,死亡,総数,1770
平成12,2000,鶴見区,死亡,男,1039
平成12,2000,鶴見区,死亡,女,731
平成12,2000,鶴見区,人口増減率,,0.91472
平成12,2000,鶴見区,社会増減率,,0.55565
平成12,2000,鶴見区,自然増減率,,0.35907
平成12,2000,神奈川区,世帯数増減,,1310
平成12,2000,神奈川区,人口増減,総数,544
平成12,2000,神奈川区,人口増減,男,-7
平成12,2000,神奈川区,人口増減,女,551
平成12,2000,神奈川区,社会増減,総数,92
平成12,2000,神奈川区,社会増減,男,-127
平成12,2000,神奈川区,社会増減,女,219
平成12,2000,神奈川区,市外移動_転入,総数,10418
平成12,2000,神奈川区,市外移動_転入,男,5936
平成12,2000,神奈川区,市外移動_転入,女,4482
平成12,2000,神奈川区,市外移動_転出,総数,9561
平成12,2000,神奈川区,市外移動_転出,男,5612
平成12,2000,神奈川区,市外移動_転出,女,3949
平成12,2000,神奈川区,市内移動_転入,総数,6465
平成12,2000,神奈川区,市内移動_転入,男,3339
平成12,2000,神奈川区,市内移動_転入,女,3126
平成12,2000,神奈川区,市内移動_転出,総数,7234
平成12,2000,神奈川区,市内移動_転出,男,3780
平成12,2000,神奈川区,市内移動_転出,女,3454
平成12,2000,神奈川区,その他増減,総数,4
平成12,2000,神奈川区,その他増減,男,-10
平成12,2000,神奈川区,その他増減,女,14
平成12,2000,神奈川区,自然増減,総数,452
平成12,2000,神奈川区,自然増減,男,120
平成12,2000,神奈川区,自然増減,女,332
平成12,2000,神奈川区,出生,総数,1883
平成12,2000,神奈川区,出生,男,940
平成12,2000,神奈川区,出生,女,943
平成12,2000,神奈川区,死亡,総数,1431
平成12,2000,神奈川区,死亡,男,820
平成12,2000,神奈川区,死亡,女,611
平成12,2000,神奈川区,人口増減率,,0.26017
平成12,2000,神奈川区,社会増減率,,0.044
平成12,2000,神奈川区,自然増減率,,0.21617
平成12,2000,西区,世帯数増減,,917
平成12,2000,西区,人口増減,総数,1064
平成12,2000,西区,人口増減,男,382
平成12,2000,西区,人口増減,女,682
平成12,2000,西区,社会増減,総数,1075
平成12,2000,西区,社会増減,男,447
平成12,2000,西区,社会増減,女,628
平成12,2000,西区,市外移動_転入,総数,4436
平成12,2000,西区,市外移動_転入,男,2451
平成12,2000,西区,市外移動_転入,女,1985
平成12,2000,西区,市外移動_転出,総数,3505
平成12,2000,西区,市外移動_転出,男,1996
平成12,2000,西区,市外移動_転出,女,1509
平成12,2000,西区,市内移動_転入,総数,3542
平成12,2000,西区,市内移動_転入,男,1811
平成12,2000,西区,市内移動_転入,女,1731
平成12,2000,西区,市内移動_転出,総数,3387
平成12,2000,西区,市内移動_転出,男,1803
平成12,2000,西区,市内移動_転出,女,1584
平成12,2000,西区,その他増減,総数,-11
平成12,2000,西区,その他増減,男,-16
平成12,2000,西区,その他増減,女,5
平成12,2000,西区,自然増減,総数,-11
平成12,2000,西区,自然増減,男,-65
平成12,2000,西区,自然増減,女,54
平成12,2000,西区,出生,総数,656
平成12,2000,西区,出生,男,308
平成12,2000,西区,出生,女,348
平成12,2000,西区,死亡,総数,667
平成12,2000,西区,死亡,男,373
平成12,2000,西区,死亡,女,294
平成12,2000,西区,人口増減率,,1.38196
平成12,2000,西区,社会増減率,,1.39625
平成12,2000,西区,自然増減率,,-0.01429
平成12,2000,中区,世帯数増減,,1928
平成12,2000,中区,人口増減,総数,1994
平成12,2000,中区,人口増減,男,1138
平成12,2000,中区,人口増減,女,856
平成12,2000,中区,社会増減,総数,2068
平成12,2000,中区,社会増減,男,1299
平成12,2000,中区,社会増減,女,769
平成12,2000,中区,市外移動_転入,総数,8670
平成12,2000,中区,市外移動_転入,男,4937
平成12,2000,中区,市外移動_転入,女,3733
平成12,2000,中区,市外移動_転出,総数,6530
平成12,2000,中区,市外移動_転出,男,3696
平成12,2000,中区,市外移動_転出,女,2834
平成12,2000,中区,市内移動_転入,総数,4599
平成12,2000,中区,市内移動_転入,男,2508
平成12,2000,中区,市内移動_転入,女,2091
平成12,2000,中区,市内移動_転出,総数,4679
平成12,2000,中区,市内移動_転出,男,2445
平成12,2000,中区,市内移動_転出,女,2234
平成12,2000,中区,その他増減,総数,8
平成12,2000,中区,その他増減,男,-5
平成12,2000,中区,その他増減,女,13
平成12,2000,中区,自然増減,総数,-74
平成12,2000,中区,自然増減,男,-161
平成12,2000,中区,自然増減,女,87
平成12,2000,中区,出生,総数,1005
平成12,2000,中区,出生,男,519
平成12,2000,中区,出生,女,486
平成12,2000,中区,死亡,総数,1079
平成12,2000,中区,死亡,男,680
平成12,2000,中区,死亡,女,399
平成12,2000,中区,人口増減率,,1.63142
平成12,2000,中区,社会増減率,,1.69196
平成12,2000,中区,自然増減率,,-0.06054
平成12,2000,南区,世帯数増減,,1379
平成12,2000,南区,人口増減,総数,289
平成12,2000,南区,人口増減,男,91
平成12,2000,南区,人口増減,女,198
平成12,2000,南区,社会増減,総数,196
平成12,2000,南区,社会増減,男,130
平成12,2000,南区,社会増減,女,66
平成12,2000,南区,市外移動_転入,総数,7595
平成12,2000,南区,市外移動_転入,男,4088
平成12,2000,南区,市外移動_転入,女,3507
平成12,2000,南区,市外移動_転出,総数,6950
平成12,2000,南区,市外移動_転出,男,3779
平成12,2000,南区,市外移動_転出,女,3171
平成12,2000,南区,市内移動_転入,総数,6249
平成12,2000,南区,市内移動_転入,男,3231
平成12,2000,南区,市内移動_転入,女,3018
平成12,2000,南区,市内移動_転出,総数,6665
平成12,2000,南区,市内移動_転出,男,3359
平成12,2000,南区,市内移動_転出,女,3306
平成12,2000,南区,その他増減,総数,-33
平成12,2000,南区,その他増減,男,-51
平成12,2000,南区,その他増減,女,18
平成12,2000,南区,自然増減,総数,93
平成12,2000,南区,自然増減,男,-39
平成12,2000,南区,自然増減,女,132
平成12,2000,南区,出生,総数,1656
平成12,2000,南区,出生,男,834
平成12,2000,南区,出生,女,822
平成12,2000,南区,死亡,総数,1563
平成12,2000,南区,死亡,男,873
平成12,2000,南区,死亡,女,690
平成12,2000,南区,人口増減率,,0.14862
平成12,2000,南区,社会増減率,,0.10079
平成12,2000,南区,自然増減率,,0.04783
平成12,2000,港南区,世帯数増減,,673
平成12,2000,港南区,人口増減,総数,-613
平成12,2000,港南区,人口増減,男,-612
平成12,2000,港南区,人口増減,女,-1
平成12,2000,港南区,社会増減,総数,-1512
平成12,2000,港南区,社会増減,男,-1011
平成12,2000,港南区,社会増減,女,-501
平成12,2000,港南区,市外移動_転入,総数,7319
平成12,2000,港南区,市外移動_転入,男,3882
