年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/11/01,141003,横浜市,438.23,1819775,3772123,1859323,1912800,2.07,8608,2013,1060
2024/11/01,141011,鶴見区,33.21,151009,297302,153424,143878,1.97,8952,203,122
2024/11/01,141020,神奈川区,23.73,136275,251671,128049,123622,1.85,10606,65,84
2024/11/01,141038,西区,7.03,60274,107365,54358,53007,1.78,15272,158,210
2024/11/01,141046,中区,22.01,89473,153528,78009,75519,1.72,6975,484,520
2024/11/01,141054,南区,12.65,109521,199593,99469,100124,1.82,15778,171,108
2024/11/01,141119,港南区,19.9,97768,212159,102933,109226,2.17,10661,60,-108
2024/11/01,141062,保土ケ谷区,21.93,101907,205388,100574,104814,2.02,9366,86,28
2024/11/01,141127,旭区,32.73,109089,240681,115687,124994,2.21,7354,-15,-144
2024/11/01,141071,磯子区,19.02,80428,164608,80876,83732,2.05,8654,86,10
2024/11/01,141089,金沢区,30.95,91304,193777,93897,99880,2.12,6261,-9,-120
2024/11/01,141097,港北区,31.4,183731,365796,182318,183478,1.99,11650,311,480
2024/11/01,141135,緑区,25.51,82503,182741,89661,93080,2.21,7164,27,-68
2024/11/01,141178,青葉区,35.22,136753,308017,148247,159770,2.25,8746,36,-68
2024/11/01,141186,都筑区,27.87,89419,214999,104915,110084,2.4,7714,125,30
2024/11/01,141101,戸塚区,35.79,126167,282378,137374,145004,2.24,7890,33,-80
2024/11/01,141151,栄区,18.52,54813,120462,58407,62055,2.2,6504,8,-57
2024/11/01,141160,泉区,23.58,64835,150473,72675,77798,2.32,6381,92,55
2024/11/01,141143,瀬谷区,17.17,54506,121185,58450,62735,2.22,7058,92,58
