年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/8/1,141003,横浜市,438.23,1811911,3757891,1850332,1907559,2.07,8575,285,-1099
2026/8/1,141011,鶴見区,33.21,150621,298225,153733,144492,1.98,8980,52,25
2026/8/1,141020,神奈川区,23.73,137600,254248,128965,125283,1.85,10714,-30,-98
2026/8/1,141038,西区,7.03,61707,108599,54462,54137,1.76,15448,-71,-127
2026/8/1,141046,中区,22.01,90755,154438,78969,75469,1.7,7017,19,2
2026/8/1,141054,南区,12.65,109712,198910,98813,100097,1.81,15724,2,-24
2026/8/1,141119,港南区,19.9,95869,208695,101017,107678,2.18,10487,67,-30
2026/8/1,141062,保土ケ谷区,21.93,100776,203746,99973,103773,2.02,9291,27,-59
2026/8/1,141127,旭区,32.73,108789,239402,115195,124207,2.2,7314,33,-110
2026/8/1,141071,磯子区,19.02,78963,163695,80501,83194,2.07,8606,18,-17
2026/8/1,141089,金沢区,30.95,90871,191825,93063,98762,2.11,6198,16,-105
2026/8/1,141097,港北区,31.4,182002,365441,181740,183701,2.01,11638,-28,-227
2026/8/1,141135,緑区,25.51,81709,179975,87925,92050,2.2,7055,-19,-180
2026/8/1,141178,青葉区,35.22,136392,307381,148180,159201,2.25,8727,121,142
2026/8/1,141186,都筑区,27.87,89063,213506,103896,109610,2.4,7661,29,-130
2026/8/1,141101,戸塚区,35.79,124786,281098,136343,144755,2.25,7854,-34,-108
2026/8/1,141151,栄区,18.52,53679,118698,57309,61389,2.21,6409,-37,-114
2026/8/1,141160,泉区,23.58,64513,149885,72279,77606,2.32,6356,72,29
2026/8/1,141143,瀬谷区,17.17,54104,120124,57969,62155,2.22,6996,48,32
