年（和暦）,年（西暦）,行政区,年齢,性別,人口
平成12,2000,横浜市,総数,総数,3397895
平成12,2000,横浜市,総数,男,1721562
平成12,2000,横浜市,総数,女,1676333
平成12,2000,鶴見区,総数,総数,252318
平成12,2000,鶴見区,総数,男,131483
平成12,2000,鶴見区,総数,女,120835
平成12,2000,神奈川区,総数,総数,209091
平成12,2000,神奈川区,総数,男,108087
平成12,2000,神奈川区,総数,女,101004
平成12,2000,西区,総数,総数,76992
平成12,2000,西区,総数,男,39179
平成12,2000,西区,総数,女,37813
平成12,2000,中区,総数,総数,122225
平成12,2000,中区,総数,男,64074
平成12,2000,中区,総数,女,58151
平成12,2000,南区,総数,総数,194455
平成12,2000,南区,総数,男,97355
平成12,2000,南区,総数,女,97100
平成12,2000,港南区,総数,総数,222856
平成12,2000,港南区,総数,男,111971
平成12,2000,港南区,総数,女,110885
平成12,2000,保土ケ谷区,総数,総数,199994
平成12,2000,保土ケ谷区,総数,男,101066
平成12,2000,保土ケ谷区,総数,女,98928
平成12,2000,旭区,総数,総数,252262
平成12,2000,旭区,総数,男,126002
平成12,2000,旭区,総数,女,126260
平成12,2000,磯子区,総数,総数,166428
平成12,2000,磯子区,総数,男,83016
平成12,2000,磯子区,総数,女,83412
平成12,2000,金沢区,総数,総数,205539
平成12,2000,金沢区,総数,男,102594
平成12,2000,金沢区,総数,女,102945
平成12,2000,港北区,総数,総数,291779
平成12,2000,港北区,総数,男,149921
平成12,2000,港北区,総数,女,141858
平成12,2000,緑区,総数,総数,154483
平成12,2000,緑区,総数,男,77894
平成12,2000,緑区,総数,女,76589
平成12,2000,青葉区,総数,総数,266064
平成12,2000,青葉区,総数,男,134761
平成12,2000,青葉区,総数,女,131303
平成12,2000,都筑区,総数,総数,148475
平成12,2000,都筑区,総数,男,75866
平成12,2000,都筑区,総数,女,72609
平成12,2000,戸塚区,総数,総数,248706
平成12,2000,戸塚区,総数,男,125526
平成12,2000,戸塚区,総数,女,123180
平成12,2000,栄区,総数,総数,118827
平成12,2000,栄区,総数,男,58815
平成12,2000,栄区,総数,女,60012
平成12,2000,泉区,総数,総数,145824
平成12,2000,泉区,総数,男,72730
平成12,2000,泉区,総数,女,73094
平成12,2000,瀬谷区,総数,総数,121577
平成12,2000,瀬谷区,総数,男,61222
平成12,2000,瀬谷区,総数,女,60355
平成12,2000,横浜市,０歳,総数,33520
平成12,2000,横浜市,０歳,男,17142
平成12,2000,横浜市,０歳,女,16378
平成12,2000,鶴見区,０歳,総数,2612
平成12,2000,鶴見区,０歳,男,1357
平成12,2000,鶴見区,０歳,女,1255
平成12,2000,神奈川区,０歳,総数,1931
平成12,2000,神奈川区,０歳,男,968
平成12,2000,神奈川区,０歳,女,963
平成12,2000,西区,０歳,総数,599
平成12,2000,西区,０歳,男,314
平成12,2000,西区,０歳,女,285
平成12,2000,中区,０歳,総数,970
平成12,2000,中区,０歳,男,490
平成12,2000,中区,０歳,女,480
平成12,2000,南区,０歳,総数,1670
平成12,2000,南区,０歳,男,833
平成12,2000,南区,０歳,女,837
平成12,2000,港南区,０歳,総数,2181
平成12,2000,港南区,０歳,男,1121
平成12,2000,港南区,０歳,女,1060
平成12,2000,保土ケ谷区,０歳,総数,1760
平成12,2000,保土ケ谷区,０歳,男,912
