年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2024/03/01,141003,横浜市,438.01,1799059,3764961,1855822,1909139,2.09,8596,-166,-1757
2024/03/01,141011,鶴見区,33.22,148354,295336,152358,142978,1.99,8890,-12,-166
2024/03/01,141020,神奈川区,23.73,133767,249608,126921,122687,1.87,10519,35,109
2024/03/01,141038,西区,7.03,59119,106259,53745,52514,1.8,15115,-47,-64
2024/03/01,141046,中区,21.74,87788,152081,77156,74925,1.73,6995,-19,-50
2024/03/01,141054,南区,12.65,107874,198576,99032,99544,1.84,15698,52,-9
2024/03/01,141119,港南区,19.9,97356,213069,103437,109632,2.19,10707,12,-144
2024/03/01,141062,保土ケ谷区,21.93,100928,205348,100564,104784,2.03,9364,-146,-276
2024/03/01,141127,旭区,32.73,108358,241042,115909,125133,2.22,7365,14,-126
2024/03/01,141071,磯子区,19.05,79863,164755,80956,83799,2.06,8649,-20,-127
2024/03/01,141089,金沢区,30.96,90488,194176,94151,100025,2.15,6272,-50,-159
2024/03/01,141097,港北区,31.4,181192,363105,180911,182194,2,11564,11,-21
2024/03/01,141135,緑区,25.51,81673,182671,89627,93044,2.24,7161,21,-27
2024/03/01,141178,青葉区,35.22,135678,308519,148606,159913,2.27,8760,-115,-276
2024/03/01,141186,都筑区,27.87,88463,215076,105054,110022,2.43,7717,17,-152
2024/03/01,141101,戸塚区,35.79,125258,282565,137577,144988,2.26,7895,-27,-198
2024/03/01,141151,栄区,18.52,54415,120707,58495,62212,2.22,6518,5,-37
2024/03/01,141160,泉区,23.58,64333,150684,72820,77864,2.34,6390,79,38
2024/03/01,141143,瀬谷区,17.17,54152,121384,58503,62881,2.24,7070,24,-72
